City,Temperature,Latitude,City_ID,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
poum,79.09,-20.23,471.0,75.0,MK,1558378885.0,71.0,41.28,20.71,53.6,5.82
hakui,41.02,36.88,,,,,,,,,
tateyama,47.61,34.98,,,,,,,,,
botou,48.09,38.07,,,,,,,,,
nanortalik,37.58,60.14,64.0,29.0,GL,1558378766.0,72.0,60.14,-45.24,43.08,4.68
campana,70.32,-34.17,,,,,,,,,
nacala,75.81,-14.54,,,,,,,,,
krasnyy klyuch,37.2,55.39,,,,,,,,,
derzhavinsk,42.91,51.1,,,,,,,,,
bay roberts,36.82,47.6,,,,,,,,,
salamiyah,50.72,35.01,,,,,,,,,
fairmount,44.04,43.05,,,,,,,,,
mahebourg,77.4,-20.41,1.0,75.0,MU,1558378503.0,74.0,-20.41,57.7,78.8,11.41
oussouye,76.96,12.48,,,,,,,,,
bilibino,10,68.05,65.0,93.0,RU,1558378766.0,89.0,68.06,166.44,27.6,6.29
atambua,72.64,-9.11,,,,,,,,,
marawi,66.16,8,221.0,12.0,PH,1558378796.0,93.0,8.0,124.29,77.0,5.01
sistranda,41,63.73,,,,,,,,,
bandarbeyla,81.72,9.49,242.0,67.0,SO,1558378822.0,74.0,9.49,50.81,82.68,13.38
chapais,28.4,49.78,351.0,90.0,CA,1558378856.0,93.0,49.78,-74.86,44.6,6.93
charters towers,71.4,-20.1,,,,,,,,,
vangaindrano,70.7,-23.35,,,,,,,,,
attawapiskat,NAN,NAN,,,,,,,,,
nome,28.4,64.5,456.0,40.0,US,1558378882.0,62.0,30.04,-94.42,87.8,12.75
vostok,24.33,46.49,,,,,,,,,
garmsar,58.06,35.22,,,,,,,,,
bin qirdan,62.47,33.14,,,,,,,,,
elko,60.6,41,,,,,,,,,
synya,14.68,65.37,452.0,29.0,RU,1558378882.0,68.0,65.37,58.04,32.28,8.55
ocos,93.09,14.51,,,,,,,,,
petropavlovsk-kamchatskiy,28.4,53.05,,,,,,,,,
lekoni,76.78,-1.58,,,,,,,,,
buraydah,69.8,26.33,,,,,,,,,
comodoro rivadavia,62.6,-45.87,145.0,0.0,AR,1558378608.0,37.0,-45.87,-67.48,55.4,16.11
teguise,66.2,29.06,,,,,,,,,
marzuq,73.2,14.4,534.0,84.0,YE,1558378896.0,36.0,14.4,46.47,79.44,6.02
ashland,53.55,40.82,,,,,,,,,
obo,72.03,5.4,,,,,,,,,
chapleau,42.8,47.84,,,,,,,,,
buluang,75.96,13.31,,,,,,,,,
uncia,57.34,-18.47,,,,,,,,,
aklavik,19.4,68.22,127.0,75.0,CA,1558378563.0,50.0,68.22,-135.01,55.4,3.09
san benito abad,94.42,8.93,,,,,,,,,
isiro,69.08,2.77,,,,,,,,,
brae,46.4,60.4,440.0,99.0,GB,1558378879.0,87.0,60.4,-1.35,51.8,4.7
clarence town,54.81,-32.58,,,,,,,,,
santa ines,79.32,-3.67,280.0,75.0,EC,1558378840.0,72.0,-0.82,-78.63,64.4,2.93
pangnirtung,26.82,66.15,287.0,75.0,CA,1558378841.0,80.0,66.15,-65.72,35.6,18.34
hobyo,83.07,5.35,74.0,91.0,SO,1558378767.0,71.0,5.35,48.53,83.58,13.49
nhulunbuy,82.04,-12.23,,,,,,,,,
guanare,94.28,9.04,,,,,,,,,
fare,83.52,-16.7,,,,,,,,,
pevek,6.39,69.7,63.0,93.0,RU,1558378765.0,71.0,69.7,170.27,26.16,4.65
nimbahera,80.73,24.62,,,,,,,,,
port hedland,73.4,-20.32,192.0,0.0,AU,1558378791.0,51.0,-20.31,118.58,62.6,6.93
lazaro cardenas,85.42,17.96,200.0,75.0,MX,1558378792.0,14.0,28.39,-105.62,88.0,21.92
clyde river,8.6,70.47,175.0,75.0,CA,1558378787.0,86.0,70.47,-68.59,28.4,12.75
chicama,80.15,-7.84,,,,,,,,,
maniitsoq,38.53,65.42,429.0,1.0,GL,1558378877.0,76.0,65.42,-52.9,40.02,8.08
vysokogornyy,23.65,50.12,,,,,,,,,
tsihombe,NAN,NAN,,,,,,,,,
cidreira,67.53,-30.18,88.0,0.0,BR,1558378770.0,66.0,-30.17,-50.22,76.56,5.5
husavik,33.8,66.04,,,,,,,,,
batemans bay,36.14,-35.72,,,,,,,,,
ornskoldsvik,32.79,63.29,,,,,,,,,
halalo,NAN,NAN,,,,,,,,,
tamiahua,84,21.27,,,,,,,,,
sao gabriel da cachoeira,78.87,-0.13,,,,,,,,,
gorontalo,72.37,0.54,,,,,,,,,
faanui,82.6,-16.48,115.0,61.0,PF,1558378775.0,74.0,-16.48,-151.75,82.86,11.59
sao joao batista,69.91,-27.28,,,,,,,,,
fairview,53.76,40.81,,,,,,,,,
darhan,46.44,49.49,353.0,32.0,MN,1558378857.0,36.0,49.49,105.92,51.72,1.7
barbar,NAN,NAN,,,,,,,,,
san jeronimo,62.08,-11.95,,,,,,,,,
nuuk,35.29,64.18,493.0,20.0,GL,1558378889.0,70.0,64.17,-51.74,42.8,8.05
mayskiy,39.58,47.69,,,,,,,,,
avera,73.67,33.19,348.0,40.0,US,1558378856.0,40.0,33.19,-82.53,91.4,9.17
flin flon,21.2,54.77,,,,,,,,,
zhigansk,24.91,66.77,61.0,97.0,RU,1558378765.0,84.0,66.77,123.37,27.24,8.77
yarkovo,37.87,57.4,,,,,,,,,
broome,45.28,42.25,,,,,,,,,
padang,78.58,-0.95,536.0,100.0,ID,1558378896.0,82.0,-0.92,100.36,81.24,7.65
taft,61.03,31.75,,,,,,,,,
wanning,74.97,18.8,,,,,,,,,
mattru,80.26,7.62,,,,,,,,,
santa catalina,73.4,9.33,,,,,,,,,
kosonsoy,53.6,41.26,,,,,,,,,
portland,58.19,45.52,,,,,,,,,
sargatskoye,41.31,55.61,,,,,,,,,
meadow lake,67.24,34.8,,,,,,,,,
wanaka,52.97,-44.7,,,,,,,,,
ceske velenice,44.62,48.77,,,,,,,,,
ust-omchug,18.48,61.15,,,,,,,,,
hasaki,45.03,35.73,281.0,75.0,JP,1558378841.0,93.0,35.73,140.83,66.2,16.11
nyimba,66.2,-14.56,,,,,,,,,
tawkar,NAN,NAN,,,,,,,,,
tselinnoye,31.66,53.08,,,,,,,,,
rosario oeste,80.17,-14.84,,,,,,,,,
eyl,82.8,7.98,,,,,,,,,
kandi,85.86,11.13,,,,,,,,,
mocambique,NAN,NAN,,,,,,,,,
esperance,69.8,-33.87,293.0,40.0,TT,1558378843.0,46.0,10.24,-61.45,91.4,18.34
tiksi,13.08,71.69,8.0,95.0,RU,1558378756.0,88.0,71.64,128.87,14.1,15.7
eureka,56.73,40.8,,,,,,,,,
svetlogorsk,35.01,52.63,,,,,,,,,
fairbanks,40.35,64.84,,,,,,,,,
manzanillo,91.62,20.34,,,,,,,,,
kaupanger,35.01,61.18,,,,,,,,,
vaasa,27.43,63.1,,,,,,,,,
perth,70.9,-31.93,542.0,20.0,GB,1558378872.0,82.0,56.4,-3.43,59.0,3.36
rock springs,53.6,41.59,,,,,,,,,
verkhoyansk,28.53,67.54,,,,,,,,,
coihaique,49.33,-45.58,271.0,0.0,CL,1558378837.0,59.0,-45.58,-72.07,46.4,4.7
mulege,69.17,26.88,,,,,,,,,
faya,65.3,18.39,178.0,20.0,SA,1558378788.0,76.0,18.39,42.45,59.0,5.82
khandyga,25.45,62.67,,,,,,,,,
sao felix do xingu,79.12,-6.64,272.0,100.0,BR,1558378837.0,92.0,-6.64,-51.99,80.34,3.74
saint anthony,59.56,45.02,519.0,90.0,US,1558378893.0,81.0,43.97,-111.68,45.0,3.36
nelson bay,55.4,-32.72,396.0,2.0,AU,1558378870.0,93.0,-32.72,152.14,59.0,3.36
margate,55.22,51.38,126.0,40.0,AU,1558378778.0,66.0,-43.03,147.26,57.99,5.82
pemangkat,76.6,1.17,,,,,,,,,
coahuayana,86,18.73,151.0,1.0,MX,1558378783.0,22.0,18.62,-100.35,100.5,4.38
khani,42.8,41.96,,,,,,,,,
ust-kulom,21.67,61.69,,,,,,,,,
ahipara,65.52,-35.17,418.0,99.0,NZ,1558378875.0,100.0,-35.17,173.16,55.0,9.51
opuwo,72.28,-18.06,7.0,0.0,,1558378523.0,23.0,-18.06,13.84,72.06,5.44
joshimath,48.76,30.57,,,,,,,,,
aswan,66.38,24.09,,,,,,,,,
kardailovo,44.01,51.54,,,,,,,,,
saint-louis,95,16.33,,,,,,,,,
kathmandu,57.2,27.72,164.0,75.0,NP,1558378762.0,73.0,27.71,85.32,71.6,6.67
ikwiriri,74.62,-7.96,,,,,,,,,
kawalu,72.54,-7.38,,,,,,,,,
cairns,72.43,-16.92,,,,,,,,,
elk city,74.79,35.41,,,,,,,,,
gorno-chuyskiy,NAN,NAN,,,,,,,,,
yashkul,44.56,46.17,,,,,,,,,
rodna,28,47.42,,,,,,,,,
salalah,82.4,17.02,218.0,20.0,OM,1558378796.0,74.0,17.01,54.1,86.0,10.29
acapulco,84.2,16.86,337.0,5.0,MX,1558378854.0,70.0,16.86,-99.88,84.2,11.41
canberra,38.39,-35.28,,,,,,,,,
mizan teferi,64.63,6.98,488.0,59.0,ET,1558378888.0,80.0,6.99,35.58,63.42,3.06
moose factory,35.6,51.26,,,,,,,,,
port blair,82.06,11.67,111.0,99.0,IN,1558378774.0,71.0,11.67,92.75,85.2,7.18
bargal,NAN,NAN,,,,,,,,,
rakiv lis,37.11,51.62,,,,,,,,,
bastia,57.4,42.67,,,,,,,,,
mtwara,79.32,-10.27,,,,,,,,,
adrar,85.59,20.5,133.0,40.0,DZ,1558378779.0,17.0,27.87,-0.29,89.6,28.86
magistralnyy,33.04,56.17,,,,,,,,,
sungairaya,76.57,0.7,,,,,,,,,
toppenish,60.96,46.38,,,,,,,,,
middlebury,41.61,44.02,,,,,,,,,
marsh harbour,74.23,26.54,,,,,,,,,
tessalit,84.04,20.2,,,,,,,,,
tiarei,87.8,-17.53,54.0,20.0,PF,1558378764.0,70.0,-17.53,-149.33,84.2,10.29
umzimvubu,NAN,NAN,,,,,,,,,
lerwick,46.4,60.15,,,,,,,,,
axim,81.23,4.87,,,,,,,,,
santa fe,74.8,-31.63,,,,,,,,,
astana,42.8,51.18,,,,,,,,,
pagman,NAN,NAN,,,,,,,,,
qasigiannguit,30.2,68.82,71.0,90.0,GL,1558378767.0,86.0,68.82,-51.19,33.8,4.7
kruisfontein,62.08,-34,43.0,92.0,ZA,1558378762.0,69.0,-34.0,24.73,55.68,16.53
hokitika,56.34,-42.72,,,,,,,,,
utiroa,NAN,NAN,,,,,,,,,
emerald,68,-23.53,84.0,0.0,AU,1558378770.0,82.0,-23.53,148.16,60.8,6.93
milkovo,23.92,54.72,,,,,,,,,
sozimskiy,30.47,59.74,,,,,,,,,
koslan,20.91,63.46,,,,,,,,,
hienghene,77.56,-20.68,,,,,,,,,
road town,82.67,18.42,342.0,40.0,VG,1558378828.0,66.0,18.42,-64.62,86.0,9.17
huron,54.45,41.15,,,,,,,,,
liku,72.5,-0.73,,,,,,,,,
namibe,77.59,-15.2,391.0,0.0,AO,1558378870.0,74.0,-15.19,12.15,71.7,17.4
emba,42.19,48.83,,,,,,,,,
orotukan,20.5,62.27,,,,,,,,,
visnes,44.35,59.36,,,,,,,,,
sept-iles,42.8,50.2,,,,,,,,,
arrecife,66.2,28.96,,,,,,,,,
neftcala,50.74,39.37,,,,,,,,,
belyy yar,24.8,53.6,,,,,,,,,
revda,41,56.8,,,,,,,,,
klaksvik,42.8,62.23,,,,,,,,,
katokhi,NAN,NAN,,,,,,,,,
magadan,17.98,59.57,,,,,,,,,
kautokeino,18.99,69.01,,,,,,,,,
le port,68.94,-20.94,215.0,25.0,FR,1558378795.0,64.0,42.87,1.37,60.01,4.47
geraldton,66.63,-28.77,388.0,75.0,CA,1558378869.0,43.0,49.72,-86.95,55.4,11.41
sabha,72.25,27.04,,,,,,,,,
kichha,76.64,28.92,,,,,,,,,
valparaiso,58.69,-33.04,,,,,,,,,
santa cruz cabralia,80.6,-16.28,,,,,,,,,
barroualie,NAN,NAN,,,,,,,,,
bubaque,78.62,11.28,,,,,,,,,
yaan,78.37,7.38,,,,,,,,,
nanaimo,57.99,49.17,,,,,,,,,
palaia fokaia,59.63,37.72,,,,,,,,,
buritis,75.42,-15.62,,,,,,,,,
cockburn town,80.69,21.46,326.0,1.0,TC,1558378560.0,79.0,21.46,-71.14,80.52,12.5
lakatoro,75.2,-16.1,,,,,,,,,
zorritos,79.5,-3.68,,,,,,,,,
saint-joseph,68.79,-21.37,421.0,75.0,FR,1558378875.0,93.0,43.56,6.97,64.0,3.36
smithers,44.6,54.78,,,,,,,,,
port macquarie,54.97,-31.43,,,,,,,,,
morris,53.53,40.83,,,,,,,,,
kailua,80.19,21.4,,,,,,,,,
kiunga,73.89,-6.12,,,,,,,,,
fukue,55.02,32.69,,,,,,,,,
tselina,43.63,46.53,,,,,,,,,
saquarema,71.13,-22.92,,,,,,,,,
stornoway,43.3,58.21,,,,,,,,,
pirenopolis,73.94,-15.85,,,,,,,,,
cap malheureux,77.65,-19.98,,,,,,,,,
manoel urbano,85.96,-8.84,,,,,,,,,
campo verde,78.8,-20.42,,,,,,,,,
florida,80.37,28.75,291.0,40.0,CU,1558378581.0,52.0,21.53,-78.23,87.8,5.82
nalut,68.76,30.33,,,,,,,,,
mailsi,80.91,29.8,,,,,,,,,
horsham,55.87,51.06,,,,,,,,,
cabedelo,82.4,-6.98,,,,,,,,,
kattivakkam,82.72,13.22,,,,,,,,,
wahran,NAN,NAN,,,,,,,,,
port hardy,51.8,50.7,32.0,90.0,CA,1558378564.0,87.0,50.7,-127.42,53.6,5.82
kitimat,50,54.05,,,,,,,,,
naze,66.2,28.37,,,,,,,,,
rawlins,55.69,41.79,,,,,,,,,
elizabeth city,62.98,36.29,,,,,,,,,
sur,78.96,22.57,82.0,66.0,OM,1558378769.0,57.0,22.57,59.53,88.26,14.83
tual,83.46,-5.67,,,,,,,,,
bulgan,40.48,48.81,,,,,,,,,
bereda,54,43.27,,,,,,,,,
sandpoint,41.4,48.28,,,,,,,,,
salvador,86.67,13.83,,,,,,,,,
cauquenes,69.64,-35.97,,,,,,,,,
ust-nera,17.33,64.57,,,,,,,,,
honiton,54.41,50.8,,,,,,,,,
paamiut,35.24,61.99,209.0,7.0,GL,1558378794.0,91.0,61.99,-49.67,35.7,16.31
bardejov,36.18,49.29,,,,,,,,,
yakeshi,38.66,49.28,105.0,100.0,CN,1558378774.0,48.0,49.28,120.73,46.86,20.31
shingu,50.92,33.73,,,,,,,,,
bowen,71.83,-20.02,,,,,,,,,
maceio,80.6,-9.67,,,,,,,,,
saleaula,NAN,NAN,,,,,,,,,
saurimo,65.75,-9.66,,,,,,,,,
olinda,84.2,-8.01,,,,,,,,,
khor,32.14,47.89,77.0,100.0,RU,1558378768.0,94.0,47.88,134.96,54.96,7.36
amga,29.66,60.9,,,,,,,,,
lamu,81.28,-2.27,,,,,,,,,
yumen,45.43,40.28,167.0,2.0,CN,1558378785.0,10.0,40.29,97.04,59.1,1.5
yulara,57.2,-25.24,303.0,20.0,AU,1558378845.0,77.0,-25.24,130.99,62.6,8.16
dunedin,55,-45.87,307.0,1.0,NZ,1558378846.0,81.0,-45.87,170.5,46.99,4.0
hun,67.77,29.13,,,,,,,,,
brockville,42.31,44.58,,,,,,,,,
mecca,67.93,21.43,525.0,1.0,SA,1558378872.0,48.0,21.43,39.83,88.62,1.74
salinopolis,82.08,-0.61,305.0,90.0,BR,1558378846.0,82.0,-0.61,-47.36,82.14,12.57
birao,87.15,10.28,,,,,,,,,
doctor pedro p. pena,NAN,NAN,,,,,,,,,
rodos,57.51,36.44,,,,,,,,,
belmonte,80.6,-15.86,476.0,60.0,PT,1558378886.0,58.0,40.36,-7.35,63.0,7.0
columbus,55.96,39.96,,,,,,,,,
terrytown,74.8,29.91,,,,,,,,,
tiznit,59.23,29.58,,,,,,,,,
vyazemskiy,32,47.54,,,,,,,,,
jurm,55.62,36.86,,,,,,,,,
meyungs,NAN,NAN,,,,,,,,,
riyadh,75.2,24.69,,,,,,,,,
karachev,33.57,53.12,,,,,,,,,
yusva,NAN,NAN,,,,,,,,,
salym,34.66,60.06,,,,,,,,,
sembakung,73.54,3.82,,,,,,,,,
ozernovskiy,29.19,51.5,,,,,,,,,
ostrovnoy,,,0.0,2.0,RU,1558378754.0,72.0,68.05,39.51,37.5,7.16
zhuhai,,,3.0,0.0,CN,1558378755.0,39.0,40.71,112.04,44.6,4.47
flinders,,,6.0,0.0,AU,1558378755.0,62.0,-34.58,150.85,60.01,11.41
pushkinskiye gory,,,9.0,6.0,RU,1558378756.0,70.0,57.02,28.91,65.04,6.93
vilyuysk,,,16.0,16.0,RU,1558378757.0,59.0,63.75,121.63,34.62,5.84
kodinsk,,,19.0,14.0,RU,1558378758.0,81.0,58.6,99.18,48.84,4.97
teknaf,,,20.0,1.0,BD,1558378758.0,85.0,20.86,92.31,84.66,8.23
ambon,,,22.0,11.0,FR,1558378758.0,93.0,47.55,-2.56,64.99,5.82
fallon,,,24.0,90.0,US,1558378758.0,53.0,46.84,-105.12,51.8,18.34
kantang,,,25.0,20.0,TH,1558378759.0,94.0,7.42,99.52,78.8,6.93
colonelganj,,,26.0,0.0,IN,1558378759.0,14.0,27.13,81.7,94.2,5.08
gobabis,,,30.0,0.0,,1558378567.0,24.0,-22.45,18.97,68.0,2.24
qingdao,,,31.0,0.0,CN,1558378760.0,54.0,36.09,120.35,59.0,2.24
arman,,,33.0,0.0,RU,1558378760.0,64.0,59.7,150.17,31.56,5.3
mamakan,,,34.0,26.0,RU,1558378760.0,90.0,57.82,114.02,31.38,2.82
clinton,,,36.0,75.0,US,1558378556.0,54.0,41.84,-90.19,55.4,10.29
mayor pablo lagerenza,,,39.0,43.0,PY,1558378761.0,33.0,-19.93,-60.77,91.86,14.9
rosita,,,45.0,72.0,NI,1558378762.0,71.0,13.92,-84.4,84.12,4.41
beloha,,,46.0,100.0,MG,1558378762.0,85.0,-25.17,45.06,70.08,10.0
garchitorena,,,49.0,59.0,PH,1558378763.0,75.0,13.88,123.7,84.3,6.11
taybad,,,52.0,78.0,IR,1558378763.0,18.0,34.74,60.78,80.16,4.88
kolyvan,,,57.0,0.0,RU,1558378764.0,87.0,55.31,82.74,48.2,4.47
bontang,,,59.0,54.0,ID,1558378765.0,99.0,0.12,117.47,74.22,2.62
sault sainte marie,,,60.0,1.0,CA,1558378765.0,61.0,46.49,-84.36,50.0,14.99
hambantota,,,67.0,40.0,LK,1558378766.0,100.0,6.12,81.12,80.6,3.36
beja,,,68.0,20.0,PT,1558378766.0,49.0,38.02,-7.87,71.6,14.99
virginia beach,,,73.0,40.0,US,1558378597.0,48.0,36.85,-75.98,91.0,10.29
pontes e lacerda,,,76.0,41.0,BR,1558378768.0,41.0,-15.23,-59.33,88.44,3.71
crotone,,,78.0,20.0,IT,1558378768.0,67.0,39.09,17.12,62.6,10.29
baglung,,,79.0,11.0,NP,1558378768.0,58.0,28.27,83.59,54.24,2.66
raglan,,,80.0,99.0,NZ,1558378769.0,53.0,-37.8,174.87,48.99,1.99
araouane,,,83.0,77.0,ML,1558378769.0,18.0,18.9,-3.53,100.14,15.1
tarauaca,,,90.0,48.0,BR,1558378771.0,47.0,-8.16,-70.77,90.06,1.43
xichang,,,92.0,19.0,CN,1558378771.0,91.0,27.88,102.25,49.74,2.46
antioch,,,93.0,40.0,US,1558378507.0,63.0,38.0,-121.81,64.99,10.29
agirish,,,95.0,100.0,RU,1558378772.0,88.0,61.92,63.02,32.82,9.1
shalinskoye,,,98.0,66.0,RU,1558378772.0,63.0,55.72,93.76,53.7,7.83
sorong,,,100.0,95.0,ID,1558378773.0,93.0,-0.86,131.25,77.28,2.01
kingston,,,101.0,75.0,CA,1558378724.0,63.0,44.23,-76.48,70.0,19.46
mbigou,,,104.0,70.0,GA,1558378773.0,94.0,-1.9,11.91,72.6,1.63
bonthe,,,108.0,63.0,SL,1558378774.0,70.0,7.53,-12.5,85.38,9.78
bara,,,109.0,45.0,NG,1558378774.0,25.0,10.41,10.6,96.54,4.99
thinadhoo,,,113.0,100.0,MV,1558378775.0,76.0,0.53,72.93,85.02,17.0
koumac,,,114.0,0.0,NC,1558378775.0,68.0,-20.56,164.28,74.4,12.86
xam nua,,,116.0,100.0,LA,1558378775.0,98.0,20.42,104.04,67.38,2.17
deputatskiy,,,119.0,47.0,RU,1558378776.0,82.0,69.3,139.9,8.52,3.31
